9 planets + moon,CPU,GPU,,AVG FPS,AVG CPU,AVG GPU
323,2.82,2.78,,301,3.29,3.34
339,2.87,3.22,,,,
344,2.81,2.83,,,,
347,2.82,3.01,,,,
348,2.99,2.73,,,,
343,2.76,3.17,,,,
329,2.82,3.03,,,,
333,3.07,2.74,,,,
331,3.08,2.89,,,,
314,2.78,2.7,,,,
309,2.74,6.49,,,,
307,6.56,3.13,,,,
316,3.11,2.76,,,,
317,3.05,2.83,,,,
311,3.47,3.78,,,,
303,2.9,3.05,,,,
284,2.78,3.05,,,,
282,2.77,2.97,,,,
295,3.15,2.76,,,,
295,3.08,2.75,,,,
243,2.98,2.76,,,,
198,6.52,6.61,,,,
299,2.79,2.72,,,,
264,2.95,3.08,,,,
279,3.45,3.75,,,,
279,2.8,3.03,,,,
266,2.75,6.39,,,,
280,6.45,2.85,,,,
276,2.91,2.97,,,,
273,2.74,3.39,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1 planet,CPU,GPU,,AVG FPS,AVG CPU,AVG GPU
538,2.41,2.51,,537,2.90,2.82
539,2.54,2.68,,,,
541,2.17,2.37,,,,
535,2.4,2.32,,,,
539,2.7,2.5,,,,
543,3.47,2.75,,,,
540,2.84,2.58,,,,
536,2.23,2.35,,,,
536,2.58,2.47,,,,
541,2.49,2.56,,,,
540,2.54,2.58,,,,
541,2.5,2.83,,,,
540,2.63,2.32,,,,
535,4.02,4.15,,,,
527,2.64,2.36,,,,
538,3.04,3.34,,,,
538,2.44,2.38,,,,
540,2.89,2.51,,,,
536,2.56,5.89,,,,
539,5.81,2.55,,,,
536,2.57,2.37,,,,
543,2.93,2.81,,,,
542,2.45,2.8,,,,
539,2.51,2.54,,,,
542,2.47,2.48,,,,
539,6.93,4.68,,,,
540,2.47,2.52,,,,
540,2.72,2.92,,,,
535,2.39,2.62,,,,
485,2.54,2.72,,,,
