FPS,Memory Usage
211.4324,258
229.7791,258
230.7295,258
240.415,258
220.1256,258
242.8707,258
210.1618,258
241.49,258
251.9277,258
250.1889,258
255.3322,258
243.7879,258
255.8161,258
126.9155,258
137.3704,258
177.2337,258
241.9966,258
227.8591,258
216.3732,258
239.517,258
245.6923,258
246.4354,258
234.7434,258
220.9212,258
240.4358,258
246.0977,258
237.9631,258
236.4958,258
181.6425,258
142.6571,258
147.598,258
158.3821,258
224.8066,258
218.2975,258
225.6118,258
219.6704,258
236.6982,258
235.2522,258
226.9514,258
233.6948,258
207.3283,258
217.4162,258
214.2554,258
218.1357,258
225.9021,258
225.6703,258
215.3429,258
244.2523,258
250.5397,258
248.4231,258
238.8374,258
244.0068,258
242.117,258
259.3728,258
260.2939,258
255.7822,258
257.9174,258
250.1511,258
249.909,258
259.7483,258
261.2942,258
254.7803,258
261.2033,258
250.8668,258
256.7473,258
247.3587,258
254.1339,258
248.5036,258
253.8252,258
260.981,258
260.9019,258
252.2025,258
249.8423,258
245.3806,258
246.0051,258
252.646,258
249.0976,258
250.154,258
252.5916,258
244.932,258
247.8412,258
253.9978,258
247.7223,258
253.9269,258
254.5895,258
261.9576,258
261.0807,258
256.985,258
216.3683,258
206.9082,258
217.1587,258
224.5652,258
160.77,258
192.3474,258
184.6991,258
222.8879,258
221.8966,258
244.3804,258
225.517,258
218.8378,258
234.4908,258
242.9302,258
210.4222,258
229.9243,258
236.9064,258
243.4117,258
244.2989,258
244.1816,258
237.1669,258
232.9646,258
239.2619,258
204.433,258
180.9132,258
116.777,258
118.2782,258
191.9717,258
189.2426,258
184.8255,258
181.0511,258
